Domain,Global_Rank,Country_Name,Country_Rank,Category_Rank,Main_Category,Sub_Category
google.com,2,1,United States,1,Internet_and_Telecom,Search_Engine
google.fr,17,1,France,1,Internet_and_Telecom,Search_Engine
google.de,20,1,Germany,1,Internet_and_Telecom,Search_Engine
msn.com,21,21,United States,21,News_and_Media,
yahoo.com,5,4,United States,4,News_and_Media,
google.com.ar,44,2,Argentina,2,Internet_and_Telecom,Search_Engine
mozilla.org,136,191,United States,191,Computer_and_Electronics,Software
google.co.uk,16,1,United Kingdom,1,Internet_and_Telecom,Search_Engine
mywb.org,20599,964,France,964,Internet_and_Telecom,Chats_and_Forums
dingit.tv,1970,181,France,181,Games,
mylot.com,6195,1043,Brazil,1043,Internet_and_Telecom,Social_Network
onclickads.net,0,0,,0,Internet_and_Telecom,Ad_Network
aol.com,155,41,United States,41,Internet_and_Telecom,
steampowered.com,170,176,United States,176,Games,Online
roblox.com,251,92,United States,92,Games,Online
alibaba.com,74,58,India,58,Shopping,General_Merchandise
wikipedia.org,8,9,United States,9,Reference,Dictionaries_and_Encyclopedias
ask.com,71,93,United States,93,Internet_and_Telecom,Search_Engine
live.com,6,12,United States,12,Internet_and_Telecom,Email
orange.fr,140,7,France,7,Internet_and_Telecom,Telecommunications
youtube-mp3.org,121,237,United States,237,Arts_and_Entertainment,Music_and_Audio
bet365.com,124,42,India,42,Gambling,Sports
google.co.il,150,1,Israel,1,Internet_and_Telecom,Search_Engine
pckeeper.software,670,1854,United States,1854,Unknown,
staticwebdom.com,0,0,,0,Internet_and_Telecom,Web_Hosting
softonic.com,216,554,United States,554,Computer_and_Electronics,Software
cqibx.com,158843,16641,France,16641,Unknown,
topsurveyprizes.com,132832,5793,France,5793,Unknown,
terraclicks.com,0,0,,0,Unknown,
adf.ly,0,0,,0,Internet_and_Telecom,Ad_Network
quizzitch.net,0,0,,0,Unknown,
r31gamz.com,0,0,,0,Unknown,
avg.com,255,242,United States,242,Computer_and_Electronics,Computer_Security
dailymotion.com,131,189,United States,189,Arts_and_Entertainment,TV_and_Video
securepccleaner.com,7460,9045,United States,9045,Computer_and_Electronics,Software
slither.io,173,136,United States,136,Unknown,
local-finders.com,11524,766,France,766,Unknown,
algocashmaster.net,0,0,,0,Unknown,
myinfosearch.biz,35003,2825,Brazil,2825,Unknown,
mediafire.com,195,334,United States,334,Internet_and_Telecom,File_Sharing
searchincognito.com,350,70,United States,70,Business_and_Industry,Marketing_and_Advertising
redirectvoluum.com,0,0,,0,Internet_and_Telecom,File_Sharing
yesmessenger.com,5953,273,France,273,Adult,
adnetworkperformance.com,0,0,,0,Unknown,
rockettab.com,1164,134,,134,Internet_and_Telecom,Search_Engine
swissmethods.com,4113,215,Germany,215,Business_and_Industry,
dlbqe.com,61652,16105,United States,16105,Unknown,
microsoft.com,48,48,United States,48,Computer_and_Electronics,Software
ebay.com,31,7,United States,7,Shopping,General_Merchandise
gameforge.com,221,53,Turkey,53,Games,
stargames.com,1570,95,Germany,95,Games,
ebay.de,88,6,Germany,6,Shopping,
strap7.com,42067,1769,France,1769,Unknown,
leboncoin.fr,113,5,France,5,Shopping,Classifieds
free.fr,266,13,France,13,Internet_and_Telecom,
about.com,349,125,United States,125,News_and_Media,
agar.io,476,588,United States,588,Unknown,
sunmaker.com,2551,115,Germany,115,Gambling,Casinos
netflix.com,30,13,United States,13,Arts_and_Entertainment,TV_and_Video
blogspot.com.ar,3017660,63624,Argentina,63624,Internet_and_Telecom,
mercadolibre.com.ar,234,6,Argentina,6,Shopping,
nametests.com,217,408,United States,408,Unknown,
chip.de,359,20,Germany,20,Computer_and_Electronics,
commentcamarche.net,495,35,France,35,News_and_Media,Technology_News
shrinklinker.com,11223,1546,France,1546,Unknown,
booking.com,79,254,United States,254,Travel,Accommodation_and_Hotels
cnet.com,185,85,United States,85,News_and_Media,Technology_News
binaryoptionscops.info,1743,16,,16,Unknown,
htm1.xyz,45282,870,Greece,870,Unknown,
wikia.com,67,44,United States,44,Internet_and_Telecom,Social_Network
oyunkolu.com,6049,203,Turkey,203,Games,Video_Games
zone-telechargement.com,261,14,France,14,Arts_and_Entertainment,Movies
popads.net,0,0,,0,Internet_and_Telecom,Ad_Network
amazon.com,14,5,United States,5,Shopping,General_Merchandise
amazonaws.com,5544,771,Germany,771,Internet_and_Telecom,
trovi.com,3123,2297,United States,2297,Internet_and_Telecom,Search_Engine
blogspot.com,486185,26062,Vietnam,26062,Internet_and_Telecom,
supportnotices.com,47358,2635,Spain,2635,Unknown,
weatherbug.com,10951,2075,United States,2075,News_and_Media,Weather
cpasbien.cm,305,28,France,28,Arts_and_Entertainment,
siteadvisor.com,949,1008,United States,1008,Computer_and_Electronics,Computer_Security
streamcloud.eu,0,0,,0,Internet_and_Telecom,File_Sharing
newtab-media.com,456,95,Brazil,95,Unknown,
ebay.co.uk,77,5,United Kingdom,5,Shopping,General_Merchandise
osgfy.com,267477,105546,United States,105546,Unknown,
mpc.am,2806,751,Brazil,751,Unknown,
google.com.au,50,1,Australia,1,Internet_and_Telecom,Search_Engine
thewhizmarketing.com,643,222,Brazil,222,Unknown,
bbc.co.uk,85,7,United Kingdom,7,News_and_Media,
installopensoftware.com,3431,649,United States,649,Unknown,
liveadexchanger.com,0,0,,0,Internet_and_Telecom,Ad_Network
web.de,199,9,Germany,9,Internet_and_Telecom,Email
homepage-web.com,1725,809,United States,809,Arts_and_Entertainment,
googlesyndication.com,27119,21702,United States,21702,Internet_and_Telecom,Search_Engine
repelis.tv,1007,49,Mexico,49,Arts_and_Entertainment,Movies
bing.com,28,14,United States,14,Internet_and_Telecom,Search_Engine
ulinkths.com,6032,652,France,652,Unknown,
onesafe-software.com,12191,1724,Spain,1724,Unknown,
youtube.com,3,2,United States,2,Arts_and_Entertainment,TV_and_Video
